tree_name,coordinate_count
Arbutus unedo L.,2
Ceratonia siliqua,2
Citrus × sinensis,21
Citrus Limonia,1
Cupressus sempervirens,23
Cydonia oblonga,4
Eriobotrya japonica,1
Eucalyptus globulus,176
Ficus carica,8
melia azedarach,1
Mespilus germanica,3
Myoporum Laetrum,7
N/A,1
Olea europaea,145
Phoenix canariensis,1
Pinus halepensis,617
Pinus halepensis ,16
Prunus dulcis,53
Prunus persica,4
Prunus subg. Prunus,4
Punica granatum,4
Pyrus cordata Desv,1
Quercus faginea ,5
Quercus ilex,47
Quercus suber,384
,
